"Section","Question","Answer"
"ADMISSIONS","When and how do I apply for the programs in Karunya?","Online applications can be filled from Nov 1, 2020. Visit www.karunya.edu and click Admissions tab which will take the Candidate to Admission portal and click Apply Now tab for applying."
"ADMISSIONS","What is the procedure for Admission at Karunya?","a. Log on to www.karunya.edu and click Admissions which will take the Candidate to Admission Portal. b. Click Apply Now Tab which will lead you to Expression of Interest form. On filling this form, you shall receive an Application Number and Passcode in your contact number and mail id given by you in the Expression of Interest (EOI) Form. c. You will be directed to the login page to fill the Application Form. d. At the end of the Expression of Interest (EOI) Form you shall click the button to fill the Application Form. e. On entering the Application Number and Passcode, you will get the Application homepage. Click on the Application → Application Form to fill the Application Form. f. After filling all the required fields, you will be directed to make an online payment towards cost of Application Form. g. Once the payment is remitted towards the cost of Application Form your Application Formalities are complete."
"ADMISSIONS","What is the next step after successfully submitting the Application form?","There are 2 steps after the successful submission of application form: a) Provisional Admission - The admission is done on first come first basis subject to fulfilling the basic eligibility criteria. A part of the 1st semester fee is required to be paid online for getting provisional admission in the program of your choice. However, the confirmation of final admission is based on the fulfillment of enrollment requirement mentioned in clause (b) below. b) Enrollment - The Candidate pays the 2nd installment of their first semester fee on confirmation of eligibility for the program of study. This is the final confirmation of admission which happens after the issue of final HSC Board results / End Semester Examination (applicable for PG Program). All the mark statements, Karunya Entrance Examination marks (if applicable), degree certificates (applicable for PG Program), other relevant documents shall be submitted online through the Candidate Portal. This shall be verified by the Admissions Office before confirming the admissions."
"ADMISSIONS","What are the eligibility requirements for any program for Admissions?","Please visit the webpage https://www.karunya.edu/admissions/ug. Download the Admissions Guidelines and you can see the Programs offered by the Institution along with the Eligibility Norms for each Program."
"ADMISSIONS","I did my HSC education in vernacular language. I am not confident in speaking and writing in English. Can I cope up with Karunya Academic system?","Certainly yes. Karunya has a systematic training program to help students in strengthening the English communication skills. During the first year of the study, the students develop their English communication skills through our state-of-art English Language Lab. The University has tied up with Cambridge University and established Karunya Language Centre to strengthen communication and writing skills of the students. As an authorized centre for Cambridge Assessment English, the student can write three levels of British English Certificate (BEC) Exam in the Campus and develop their proficiency in English."
"ADMISSIONS","I am from Biology stream in HSC. What are the Programs I can opt for?","The Candidate who pass through Biology stream in their HSC can opt for the following programs of study in the University: a. B.Sc. (Hons.) Agriculture, b. B.Sc. (Hons.) Horticulture, c. B. Tech. Biomedical Engineering, d. B. Tech. Biotechnology, e. B. Tech. Food Science and Engineering, f. B.Sc. Food Science and Nutrition, g. B.Sc. Genetics and Microbiology, h. All other B.A. / B. Com. / B.Sc. Programs offered by the University."
"ADMISSIONS","During this pandemic season how are the classes and examinations conducted?","The Classes are conducted live Online through the Karunya Online portal. This online portal has facilities to participate in live classes, live interaction with the faculty members, chat facility and is developed in-house. All lectures were recorded and uploaded in the University Learning Management Portal for students to listen to the lecture once again if they have any doubts/clarifications in the concepts. Periodic webinars are also conducted with Industry Experts/renowned Alumni from across the globe. The laboratory sessions are conducted through a virtual lab. The Examinations (Internal and End Semester Examination) were conducted through Karunya Online Examination Portal. This Portal was developed in-house, highly secure and AI proctored. The International Agency QS, scrutinized this state-of-art Karunya Online Classroom / Examination portal and awarded QS I-Gauge E-Lead (E-Learning Excellence for Academic Digitisation) Certification to Karunya University."
"ADMISSIONS","I have completed my Diploma in Engineering. What are the opportunities available at Karunya Deemed University?","Lateral entry programs are available for Diploma degree holders. Based on your qualification you can join: B.Tech Aerospace Engineering, B.Tech Biomedical Engineering, B.Tech Biotechnology, B.Tech Civil Engineering, B.Tech Computer Engineering, B.Tech Computer Science and Engineering, B.Tech. Computer Science and Engineering (Specialization in Artificial Intelligence), B.Tech. Computer Science and Engineering (Specialization in Data Analytics), B.Tech. Electronics and Communications Engineering, B.Tech. Electronics and Communications Engineering (Specialization in IoT), B.Tech. Mechanical Engineering, B.Tech. Robotics & Automation."
"ADMISSIONS","I am from Vocational Stream in HSC. What are the programs available for me in Karunya Deemed University?","The Programs offered for candidates from vocational stream in HSC are: B.Sc. (Honors) Agriculture, B.Sc. (Honors) Horticulture, B.Tech. Aerospace Engineering, B.Tech. Artificial Intelligence and Data Science, B.Tech. Biomedical Engineering, B.Tech. Biotechnology, B.Tech. Civil Engineering, B.Tech. Civil Engineering (Specialization in Smart Cities), B.Tech. Computer Engineering, B.Tech. Computer Science and Engineering, B.Tech. Computer Science and Engineering (Artificial Intelligence), B.Tech. Computer Science and Engineering (Specialization in Artificial Intelligence), B.Tech. Computer Science and Engineering (Specialization in Data Analytics), B.Tech. Electronics and Communication Engineering, B.Tech. Electronics and Communication Engineering (Specialization in IoT), B.Tech. Electronics and Computer Engineering, B.Tech. Food Processing and Engineering, B.Tech. Mechanical Engineering, B.Tech. Robotics and Automation."
"ADMISSIONS","Do I have to appear for any entrance exam for admissions?","Entrance exam is applicable only for B.Tech., B.Sc. (Hons.) Agriculture, B.Sc. (Hons.) Horticulture and MBA admissions. However, students who have already qualified in JEE, CAT /MAT (applicable for MBA) need not appear for Karunya Entrance Examination / Karunya Management Aptitude Test. Entrance examinations are not applicable for NRI / Foreign Candidates. Karunya Entrance Exam 2021 (KEE-2021) will be conducted online for all B.Tech., B.Sc. (Hons.) Agriculture and B.Sc. (Hons.) Horticulture programs on a date that will be communicated to the candidates who have filled the application form in all respects and paid the required application fee. Karunya Management Aptitude Test 2021 (KMAT-2021) will be conducted online for MBA program on a date that will be communicated to the candidates who have filled the application form in all respects and paid the required application fee."
"ADMISSIONS","What is the pattern of Question paper for KEE-2021?","(a) B.Tech. (All Programs): Mathematics - 20 Multiple Choice Questions - 40 Marks, Physics - 10 Multiple Choice Questions - 20 Marks, Chemistry - 10 Multiple Choice Questions - 20 Marks, General Aptitude - 5 Multiple Choice Questions - 10 Marks, General Ethics / Christian Values* - 5 Multiple Choice Questions - 10 Marks (* - For Christian Candidates only), Total Marks - 100 Marks. (b) B.Sc. (Hons) Agriculture & Horticulture: Biology - 20 Multiple Choice Questions - 40 Marks, Physics - 10 Multiple Choice Questions - 20 Marks, Chemistry - 10 Multiple Choice Questions - 20 Marks, General Aptitude - 5 Multiple Choice Questions - 10 Marks, General Ethics / Christian Values* - 5 Multiple Choice Questions - 10 Marks (* - For Christian Candidates only), Total Marks - 100 Marks."
"ADMISSIONS","What is the pattern of Question paper for KMAT-2021?","Quantitative Aptitude - 12 Multiple Choice Questions - 24 Marks, Verbal Reasoning - 12 Multiple Choice Questions - 24 Marks, Logical Reasoning - 6 Multiple Choice Questions - 12 Marks, Data Interpretation - 6 Multiple Choice Questions - 12 Marks, Current Affairs & Computer Awareness - 14 Multiple Choice Questions - 28 Marks, Total Marks - 100 Marks."
"ADMISSIONS","What are the documents one needs to upload to complete the application?","X grade mark sheet (or) XII Grade mark sheet (or) Pre-degree (or) Intermediate mark statement or equivalent, Passport size photograph, Signature of the candidate."
"ADMISSIONS","What happens to my online application once it is submitted?","Once the Online application is submitted, your application will be scrutinized and you will receive an E-mail / SMS to pay the 1st installment of the first semester fee online to secure your provisional admission. The candidates are advised to pay immediately and secure your provisional admission, failing which, the system may allot the seat to the wait listed candidates."
"ADMISSIONS","When can the candidate receive the fee receipt for the payment made Online?","The receipt is generated instantly online and will be available in the Candidate Portal which can be accessed using the Application Number and Passcode in the following link: https://eduserve.karunya.edu/online/AdmissionsPortal/Login.aspx"
"ADMISSIONS","Can I pay the fee in Installments?","Only for the first semester, fee can be paid in two installments as per the schedule given in the Fee Structure. However, in order to complete the enrollment process and obtain University Register number & ID card, the Candidate has to pay the entire 1st semester fees online. The 2nd semester fees should be paid in one full installment as per the schedule given in the Fee Structure in the next semester."
"ADMISSIONS","Can I apply before the Class 12 HSC results?","Yes. The Candidate can apply before the Class XII Results. The submission of online application is open from Nov 1, 2020."
"ADMISSIONS","What are the timings for Admissions?","As the Admissions are fully online and automated, it is done 24 x 7 on all Days. However, if the Candidate wishes to visit the Campus, and get admissions, they are invited to visit on any working day during the Office hours."
"ADMISSIONS","Is Day Scholar facility provided?","The University is a fully Residential University. However day scholar facility is applicable only for candidates from Coimbatore who possess any one of the following address proofs: Aadhaar Card / Passport / Ration Card / Voters ID. The day scholars shall only avail University Bus facility and shall not be permitted to use any other mode of transport."
"ADMISSIONS","Is there a specific date for Admission Counseling and what if one cannot attend the Counseling Session on time?","As the Admission process is online, automated and enabled 24 x 7 on all days, there is no specific date for Admission Counseling. Candidates who have secured their provisional admission, satisfied all program eligibility norms, paid all the 1st semester fees shall be enrolled in the Program. The University register number and ID card will be generated and issued to the Candidates."
"ADMISSIONS","I have already taken provisional admission for a program. When should I pay the 2nd installment of 1st semester fees?","10 June 2021"
"ADMISSIONS","I would like to visit the University Campus and see the facility. Should I book an appointment?","Yes. Interested candidates shall send request to admissions@karunya.edu and the Admissions Office shall arrange for the same. Campus Visit is arranged between 10.00 a.m. and 4.00 p.m. on any University working day."
"ADMISSIONS","Is it possible to enroll Part - Time in the University?","The Institution does not offer any U.G. and P.G. Programs through Part - Time mode. However, Ph.D. programs are offered in Full Time as well as Part - Time mode."
"ADMISSIONS","I have changed my name. What name should I enter in the Application?","The Name change will be accepted only after submission of valid documents issued by the State Government / Transfer Certificate."
"ADMISSIONS","I am having technical problem with the Online Application System. Whom should I contact?","In case of any technical problems / queries regarding the Application form or in any stage of Admissions, kindly take a screenshot of the error faced and send a mail to admissions@karunya.edu."
"ADMISSIONS","I wish to apply for Bank Loan. Will the University issue the required certificate?","Yes, we will certainly assist the candidate for bank loan. You are required to send a request to admissions@karunya.edu along with the application number, after payment of first installment of 1st semester fees. The Admissions Office shall issue a Certificate with the Course Fee Structure to apply for Bank loan."
"ADMISSIONS","I have obtained Provisional Admission in one program. Now I wish to change to another Program. Is it possible?","Yes, it is possible before enrollment and issue of ID card. You are requested to send a mail to admissions@karunya.edu along with your application number and reason for change. The change request will be considered only based on the vacancy and eligibility."
"ADMISSIONS","Do you have any agents through whom we can apply? Do I have to pay capitation fee or donation to the University or any agent?","Admissions for Karunya Institute of Technology and Sciences is completely merit based and does not involve any brokers, middleman or Agents for Admissions. The Candidate need not pay any capitation fee or donation or any other payment to any person or the University. To register for any complaints, please send an E-mail to vigilance@karunya.edu."
"ADMISSIONS","I want to withdraw my application due to personal reasons. Can I withdraw and what is the procedure for withdrawing?","Yes, you can withdraw your admission before commencement of the classes by submitting a request online using the link provided by the Admissions Office. To get the link send an E-mail to admissions@karunya.edu. After the commencement of classes, withdrawal of admissions is not permitted."
"ADMISSIONS","What is the extent of refund I will get after withdrawal of admission? Is there a policy for refund in the Institution?","The refund process is automated and the refund amount is determined by the Computer Software based on the refund policy of the University. The eligible refund amount is calculated based on the date of online application for refund and the formally notified date of commencement of academic session. The eligible refund amount will also be displayed on your online portal screen while applying for refund. The refund policy is furnished below: 100% - 15 days or more before the formally notified date of commencement of academic session; 90% - Less than 15 days before the formally notified date of commencement of academic session; 50% - 15 days or less after the formally notified date of commencement of academic session; 50% - 30 days or less, but more than 15 days, after the formally notified date of commencement of academic session; 0% - More than 30 days after the formally notified date of commencement of academic session. Note: 1. In case of (1) in the table above, Karunya Institute of Technology and Sciences shall deduct an amount not more than 5% of the fees paid by the student, subject to maximum of Rs. 5,000/- as processing charges (for Indian Nationals) / USD 250 (for NRI / Foreign Nationals) from the refundable amount. 2. Fees shall be refunded by Karunya Institute of Technology and Sciences to an eligible student within 15 days from the date of receiving online application from him / her in this regard. 3. Failed candidates / ineligible candidates are eligible to receive refund after deduction of 5% of the fees paid by the student, subject to maximum of Rs. 5,000/- as processing charges (for Indian Nationals) / USD 250 (for NRI / Foreign Nationals) from the refundable amount."
"ADMISSIONS","I am interested very much in Sports. What are the facilities, opportunities available for me to represent Karunya at District, State and National Level?","During the first year of study, the students enroll in the Sports and Games Club. The University has following facilities for boys and girls: OUTDOOR: a) Football - 2 fields, b) Volleyball - 10 courts, c) Kabaddi - 5 courts, d) Basketball - 4 courts, e) Ball Badminton - 4 courts, f) Badminton - 9 courts, g) Cricket Nets - 2 nets, h) Hockey - 1 field, i) Handball - 1 court, j) Tennis - 2 courts, k) 400 m - 8 lane track - 2 nos., l) Galleries - 10 nos. INDOOR: a) Shuttle Badminton - 3 Courts, b) Basketball - 1 Court, c) Table Tennis - 8 Tables, d) Carrom board - 14 boards, e) Kabaddi - 1 court, f) Tennis - 1 court, g) Chess board - 40 boards. The University conducts Selection Trials and camps to select sports persons for the University Team. The University has a full-fledged team for Athletics, Ball Badminton, Basketball, Cricket, Football, Hockey, Shuttle Badminton, Kabaddi and Volleyball. Every year selected the students who enter the University team will participate in South Zone & All India Inter University tournaments organized by the Association of Indian Universities, New Delhi. The students also participate in the State level National level open tournaments. Coaches will be in the campus from morning 6 am to 7.30 am and evening 5 pm to 7 pm to train the students. The University has well equipped gymnasiums with modern and sophisticated equipments to build the physique of the students. The University has a total of 7 gymnasiums (5 for boys and 2 gymnasiums for girls separately). The major equipments available in every gymnasium are: Treadmill, Elliptical, Spin Bike, Twisting Machine, Stepper Machine, Peck Deck Machine, Leg Curl Machine, Abdomen Machine, Power gym, Multi-station gym. The selected Team shall represent Karunya in District Level, State Level, National Level and International Level Tournaments."
"ADMISSIONS","What are the extra - curricular activities available in the University?","The following are the extra-curricular clubs available for the students in Karunya Deemed University: Sports and Games, National Service Scheme (N.S.S.), National Cadet Corps (N.C.C.), Rotaract Club, Youth Red Cross Unit, Red Ribbon Unit, Nature Club, Karunya Arts and Literary Association (KALA), Journalism Club, Music Club, Photography and Videography Club, Karunya Outreach Club."
"ADMISSIONS","I am interested / involved in N.C.C. as Cadet in my School days. What are the unique facilities available for me?","NCC at Karunya has been a well-established and well-organized office which plays a vital role ever since its inception in all activities of the institution. The NCC cadets apart from obtaining military training are groomed to be selfless, patriotic, disciplined, honest and confident. Regular parade and rigorous army training are given to the cadets by the Parent Units, 2(TN) CTC and 5(TN) Girls Battalion respectively. The Boys Platoon is headed by Capt. Dr. C. Bazil Wilfred, Associate NCC Officer and Assistant Professor of Mathematics. The Girls Platoon is headed by Mrs. B. Paulin Ebenezer. Karunya Institute of Technology and Sciences has recently been granted permission to start a new Artillery Unit under the 4 [TN] BN NCC unit. This unit is headed by Dr. J. Victor Prabhu, Assistant Professor, Department of Applied Chemistry KITS."
"ADMISSIONS","I am interested in playing musical instruments, musical bands, etc. Will Karunya provide me a platform to showcase my talents?","Definitely yes. Karunya is an excellent platform to nurture your musical talents. During the first year of study, the students can enroll in the Music Club and form musical bands. The Musical Bands will get opportunities to show case their talents during the Morning Assembly conducted every day, evening programs, weekend programs, mega Christmas functions, etc. Karunya is well known for the 100-member choir with lead guitarists, acoustic guitarists, bass guitarists, pianists, drummers, saxophonist, tabla, trumpeters, Percussionist, violinists, flutist and Recorder. In fact, Karunya has raised many musicians, singers and musical bands during the past three decades and are now shining across the globe."
"ADMISSIONS","I am interested to join Karunya University. However, I have a query. Whom should I contact?","Please call the toll free number 1800-425-4300."
"SCHOLARSHIPS","What are the Scholarship Schemes available?","There are two Scholarships: i. Admission Scholarship (2021- Batch) - This is an entry level Scholarship, and we have the following scholarships: Scholarships for B. Tech. Programs, Scholarships for M. Tech. Programs, Scholarships for M.B.A. Program, Scholarships for B. Com., B.A. and B.Sc. Programs (NRI Candidate only), Scholarships for Candidates qualified in JEE, Scholarships for Inventors and Innovators, Scholarships for B. Tech. (Lateral Entry) Programs, One Time Entry level scholarship for UG Programs in School of Science, Arts, Media and Management (Christian Minority Candidates only). Please refer the link for more details - https://admissions.karunya.edu/scholarships. ii. Government Scholarships: The admitted candidates can also apply for Scholarships available with the Government through the University. Kindly refer the link for more details: https://karunya.edu/studentaffairs/scholarships."
"SCHOLARSHIPS","Are the University scholarships renewable?","Yes, the Scholarships provided by the University are renewable every year. For conditions of renewal, please refer https://admissions.karunya.edu/scholarships."
"SCHOLARSHIPS","I am a JEE aspirant, do you provide any scholarships for JEE candidates?","JEE Scholarships are provided to JEE candidates who have scored 90% and above in JEE."
"SCHOLARSHIPS","I am an inventor, do you provide scholarships based on my achievements?","Yes, we encourage Inventors and Innovators like you. Scholarships are provided for Candidates who have received awards / certificates from attending National level and / or State level science symposiums/competitions. For more details refer link: https://admissions.karunya.edu/scholarships."
"SCHOLARSHIPS","How can I apply for Scholarships provided by Government?","The admitted candidates can apply for Scholarships available with the Government through the University. Kindly refer the link for more details: https://karunya.edu/studentaffairs/scholarships."
"ENROLLMENT","When should I report for enrollment?","The enrollment process will begin after the results of HSC are declared by all the State and Central Governments. The date of enrollment will be intimated to all the Candidates through E-mail."
"ENROLLMENT","What is Admission Enrollment?","All the Candidates who have paid the first semester fees, will be invited for Admission Enrollment. During the Admission Enrollment, the following activities will be carried out: i. Eligibility verification, ii. Verification of Certificates, iii. Verification for Scholarship, iv. Verification of fee receipts, v. Submission of Documents, vi. Generation of Identity card, vii. Issue of Books and Lab instruments, viii. Hostel room allotment (if applicable). The Admission Office may call for verification of certain documents before Admission Enrollment."
"ENROLLMENT","What are the documents to be submitted during the enrollment process?","a. Provisional enrollment letter (downloaded from the institution website), b. SSLC mark statement, c. HSC / Pre-degree / Intermediate mark statement or equivalent, d. Diploma / Degree certificate (PG Programs Only), e. Transfer and conduct certificates, f. Community certificate (Certificate issued by Tahsildar / Revenue Officer / Magistrate will alone be accepted), g. Recent Passport size photos (4 Nos.), h. Aadhaar card (photo copy), i. Ration card (photo copy) as address proof, j. Proof for Jesus Calls Young Partner, if applicable, k. Income certificate or Form - 16 (photo copy) of parent of the previous financial year, l. Passport (photo copy) (Applicable for NRI / foreign Nationals only)."
"ENROLLMENT","If enrolled, can one get transfer to another program within Karunya Deemed University?","The transfer of program after enrollment in the Karunya Deemed University is not possible."
"ENROLLMENT","How do I pay the Semester fees after joining Karunya Deemed University from second semester onwards?","Before the start of every semester, the applicable semester fees will be reflected online in the student portal and it shall be paid online before the due date as given in the fee structure."
"UNIVERSITY INFRASTRUCTURE","Do you have internet facilities at the University and Hostel Campus?","Yes. The University has a strong Fiber Optic Backbone with 700 Wi-Fi access Points and provides 1,200 Mbps Internet Bandwidth for the University and Hostel campus."
"UNIVERSITY INFRASTRUCTURE","Is the internet connection provided to mobile phones?","Yes. Every student is provided with an internet connection for one laptop and one mobile phone."
"HOSTEL","Does the university provide Hostel facility to all students?","The University is a FULLY RESIDENTIAL Institution and provides hostel facilities to all students. Separate hostels are available for Boys and Girls."
"HOSTEL","How is the learning ambience in the University?","Karunya is a perfect place for learning. The sprawling, beautiful, lush green campus, blended with nature, tastiest water, fresh and clean air, breathtaking views of mountains surrounded by clouds makes Karunya a perfect conducive ambience for learning."
